	Isoehist	Ophilusi	Ranupalu	Illevert	Rumebuce	Tubegutt	Fumaeric	Ericscop	Astelinu	Anagcras	Anagarve	Crastill	Sangmino	Aphamicr	Lotuparv	Ornicomp	Ornipinn	Scorverm	Trifcamp	Trifcher	Trifangu	Genitrid	Lythhyso	Myrtcomm	Euphexig	Linubien	Radilino	Cicefili	Exacpusi	Centmari	Echiplan	Stacarve	Lavastoe	Plancoro	Planserr	Planbell	Pinglusi	Solelaur	Galipari	Bellannu	Bellsylv	Puliodor	Logfgall	Evaxpygm	Chammixt	Hyporadi	Tolpbarb	Junctena	Junchybr	Junccapi	Juncbulb	Scirpseu	Eleomult	Careflac	Vulpmyur	Brizmaxi	Brizmino	Gaudfrag	Airacary	Gastvent	Anthovat	Bracdist	Asphaest	Urgimari	Romubulb	Seraparv	Allirose	Ornibrot	Linutenu	Scabatro	Scanpect	Trifglom	Eryndila
100	0	0	0	0	2	30	1	0	0	0	1	0	0	0	21	0	2	0	9	3	4	1	0	0	11	3	0	0	7	5	0	0	1	0	6	31	0	3	0	0	0	0	40	15	0	3	14	0	1	0	0	0	0	0	0	2	0	1	126	1	0	0	3	0	0	0	0	0	1	0	0	20	0
101	0	0	2	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	1	0	13	4	6	6	19	3	0	0	0	0	0	1	0	0	0	0	0	3	9	19	0	9	21	0	0	0	0	0	0	0	0	0	0	1	114	10	1	0	2	0	1	0	0	0	0	0	0	0	0
102	0	0	1	0	0	0	0	0	0	0	32	0	0	0	6	0	2	1	5	0	0	0	3	0	6	0	0	0	11	9	1	0	0	2	0	3	0	1	0	0	0	0	17	12	26	9	62	0	0	0	0	0	0	2	0	0	0	0	182	0	2	0	0	0	0	0	0	2	0	0	1	3	0
103	0	0	0	0	0	14	0	0	0	0	1	0	1	0	4	0	1	1	11	3	15	0	15	0	28	3	0	0	13	14	0	0	0	12	0	41	0	0	0	0	0	2	32	11	0	7	19	0	0	0	0	0	0	6	0	0	0	4	138	6	2	7	0	0	0	0	0	3	0	1	0	6	3
104	0	0	0	0	5	15	0	0	0	0	37	0	0	0	0	0	0	4	3	0	0	0	8	0	2	1	22	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	5	6	0	4	14	1	3	3	0	0	0	15	0	7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
105	0	0	0	0	1	1	0	0	0	0	33	0	0	0	0	1	0	0	1	0	1	0	6	0	0	1	29	0	12	4	0	0	0	6	0	53	0	0	0	0	0	0	18	17	0	1	16	1	24	0	0	0	0	0	0	3	0	0	215	1	0	1	1	0	0	0	0	6	0	0	0	11	0
106	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	0	0	3	0	0	0	3	0	3	1	25	3	24	12	0	0	0	1	0	1	0	0	1	0	0	0	16	33	2	0	12	6	2	3	0	0	0	2	0	14	0	0	303	1	1	0	2	0	1	0	0	1	0	0	0	1	0
107	0	0	0	0	1	16	0	0	0	0	45	0	0	0	1	0	0	1	2	0	0	0	10	0	1	2	14	0	17	4	0	0	1	1	0	22	0	0	1	0	0	0	4	8	0	3	10	0	7	4	0	0	0	0	0	11	0	0	244	0	1	2	2	0	0	0	0	0	0	0	0	0	0
108	0	0	0	7	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	1	120	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	2	13	5	2	2	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	0	0	0	0	1	0	0	0	0	66	3	0	3	0	5	0	0	0	0	0	0	0	20	0	0	0	78	6	9	2	0	0	0	8	0	0	0	12	0	0	0	0	5	0	1	1	21	23	32	2	0	41	10	1	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	39	10	33	0	0	0	0	11	0	25	0	5	3	0	0	0	19	0	0	5	26	0	13	2	0	5	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	3	0
111	0	0	0	4	0	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	9	0	1	0	31	2	15	0	0	0	0	22	0	0	2	15	0	0	0	0	9	0	0	1	35	15	14	7	0	117	6	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	0	0	2	33	1	0	0	0	1	0	0	0	15	0	0	0	6	3	1	1	1	0	5	1	3	0	7	1	0	0	1	0	6	43	0	3	0	0	0	0	37	13	0	3	15	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	10	0
113	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	1	0	11	1	9	11	16	2	0	0	0	0	0	0	0	0	0	0	0	2	15	12	0	8	18	0	0	1	0	0	0	0	0	0	0	1	95	16	0	1	1	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	2	0	5	0	0	0	1	0	2	0	0	0	7	5	0	0	0	3	0	2	0	0	0	0	0	0	24	10	21	1	20	0	0	0	0	0	0	2	0	1	0	0	181	6	1	0	0	0	0	0	0	3	0	0	0	0	0
