	Isoehist	Ophilusi	Ranupalu	Illevert	Rumebuce	Tubegutt	Fumaeric	Ericscop	Astelinu	Anagcras	Anagarve	Crastill	Sangmino	Aphamicr	Lotuparv	Ornicomp	Ornipinn	Scorverm	Trifcamp	Trifcher	Trifangu	Genitrid	Lythhyso	Myrtcomm	Euphexig	Linubien	Radilino	Cicefili	Exacpusi	Centmari	Echiplan	Stacarve	Lavastoe	Plancoro	Planserr	Planbell	Pinglusi	Solelaur	Galipari	Bellannu	Bellsylv	Puliodor	Logfgall	Evaxpygm	Chammixt	Hyporadi	Tolpbarb	Junctena	Junchybr	Junccapi	Juncbulb	Scirpseu	Eleomult	Careflac	Vulpmyur	Brizmaxi	Brizmino	Gaudfrag	Airacary	Gastvent	Anthovat	Bracdist	Asphaest	Urgimari	Romubulb	Seraparv	Allirose	Ornibrot	Linutenu	Scabatro	Scanpect	Trifglom	Eryndila
54	12	0	81	0	1	1	0	0	0	1	77	0	0	0	26	0	6	0	10	1	0	0	4	0	15	1	3	0	11	7	0	3	0	2	0	2	0	0	0	0	0	0	21	0	35	13	74	0	31	36	0	3	0	2	4	1	0	0	55	2	9	0	0	0	28	0	0	5	0	0	0	0	0
55	1	8	28	0	0	9	0	0	0	0	0	0	1	0	14	0	8	1	17	0	10	0	3	0	31	4	5	0	6	1	0	3	0	12	0	70	0	2	0	0	0	1	22	20	0	8	25	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	31	0	0	10	0	0	0	0	3
56	3	0	0	0	5	20	0	0	0	0	101	0	0	0	2	0	3	6	8	2	0	0	16	0	4	2	153	0	6	9	0	0	0	0	0	0	0	27	0	0	1	1	4	20	0	7	31	3	3	9	0	31	0	10	0	0	1	0	76	0	0	0	2	0	0	93	0	0	0	0	0	0	0
57	35	0	1	0	2	2	0	0	0	0	88	0	0	0	1	3	0	0	15	12	2	0	10	0	7	1	281	11	12	6	0	1	0	2	0	88	0	0	3	0	0	0	23	50	0	3	21	9	65	19	0	34	0	0	0	8	2	0	99	0	0	2	1	0	40	0	3	8	0	0	0	0	0
58	5	0	1	0	2	22	0	0	0	0	45	0	0	1	1	0	2	0	7	1	0	0	7	0	13	3	177	0	14	14	0	0	0	1	0	1	0	0	9	0	0	0	35	63	2	3	25	5	31	61	0	1	0	2	0	0	1	0	114	0	0	0	2	0	22	0	2	1	0	0	0	0	0
59	0	0	0	0	2	16	0	0	0	0	92	0	0	0	4	0	1	1	9	0	0	0	12	0	2	1	55	45	19	4	0	10	1	1	0	19	0	13	1	0	0	0	4	5	0	4	15	1	21	27	0	2	0	0	2	36	0	0	191	0	1	4	2	0	0	5	0	1	0	0	0	0	0
60	6	0	0	43	3	0	0	0	0	74	8	0	3	1	7	0	1	0	1	0	0	0	5	0	2	0	63	13	159	3	0	0	0	35	0	0	2	48	0	0	0	0	2	0	0	6	23	2	4	7	0	121	0	1	2	0	5	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	1	0	0	6	0	5	1	0	0	3	0	0	0	3	3	0	0	2	0	0	0	95	39	22	0	0	0	0	19	0	43	0	58	6	0	1	0	32	0	0	8	37	0	21	12	0	31	0	0	6	0	2	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	1	0	0	17	0	0	0	0	0	17	4	0	1	1	1	0	1	0	0	0	0	0	15	0	8	1	25	0	11	1	0	0	0	47	0	0	14	53	1	0	0	0	12	0	0	6	76	18	17	14	0	157	12	0	0	0	2	0	177	0	0	0	0	0	0	0	0	0	0	0	0	2	0
63	0	0	1	0	2	35	1	0	0	0	2	0	0	0	33	0	5	0	11	17	6	0	2	0	26	0	9	1	3	8	0	0	1	0	7	45	0	3	1	0	0	0	35	21	0	9	22	0	0	0	0	0	0	0	0	7	0	0	93	0	0	0	5	0	25	0	0	5	0	0	0	0	0
64	1	2	41	0	1	13	0	0	0	0	29	0	0	0	0	0	0	0	1	2	3	0	6	0	21	3	65	0	19	7	0	1	0	0	0	0	0	5	0	0	0	5	13	29	0	20	30	2	14	23	0	0	0	0	0	0	1	0	36	0	0	0	0	0	22	0	0	6	0	0	0	0	0
65	10	0	88	0	0	0	0	0	0	1	62	0	0	0	22	0	7	0	3	5	0	0	1	0	7	1	1	0	7	11	0	3	0	5	0	1	0	4	0	0	0	0	18	11	31	13	67	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0
66	0	1	23	0	0	9	0	0	0	0	0	0	1	0	14	0	5	1	11	9	7	0	9	0	23	2	0	5	10	13	0	4	0	5	0	73	0	3	1	0	0	3	29	21	0	4	23	1	7	10	0	0	0	4	0	0	0	0	110	0	0	0	0	0	37	0	0	9	0	1	0	0	3
67	0	0	0	0	6	19	0	0	0	0	76	0	0	0	2	0	5	9	7	3	0	0	11	0	5	2	124	8	11	8	0	0	0	0	0	1	0	17	0	0	1	1	3	17	0	7	33	3	16	26	0	26	0	12	0	0	0	0	241	0	0	0	2	0	0	103	0	0	0	0	0	2	0
68	17	0	1	0	2	2	0	0	0	0	57	0	0	0	1	2	0	0	5	6	1	0	10	0	6	1	173	7	9	9	0	1	0	3	0	73	0	0	3	0	0	0	25	43	0	3	25	5	56	1	0	15	0	0	1	8	0	0	124	0	0	4	1	0	22	0	7	8	0	0	0	7	0
69	2	0	1	0	3	16	0	0	0	0	43	0	0	0	1	0	2	0	6	1	0	0	7	0	8	3	102	14	23	19	0	0	0	1	0	1	0	0	14	0	0	0	16	41	3	3	25	13	20	37	0	10	0	2	0	0	0	0	114	0	0	0	2	0	24	0	2	1	0	0	0	0	0
70	0	0	0	0	2	20	0	0	0	0	70	0	0	0	3	0	2	1	7	0	0	0	14	0	3	1	59	20	23	8	0	8	1	1	0	23	0	11	1	0	0	0	3	12	0	5	15	1	20	32	0	7	0	0	0	33	0	0	194	0	1	2	2	0	0	1	0	1	0	0	0	0	0
71	4	0	0	26	2	0	0	0	0	77	13	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	64	17	180	2	0	0	0	34	0	0	0	43	0	0	0	0	2	0	0	7	26	4	5	11	0	132	0	0	0	0	3	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	4	0	0	4	3	0	0	0	0	108	7	0	3	0	9	0	1	0	1	0	0	0	16	0	2	0	109	33	31	5	0	0	0	36	0	0	2	35	2	0	1	0	7	0	1	3	32	13	46	22	0	71	6	1	0	0	1	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	1	1	0	0	3	0	2	0	0	0	5	0	1	0	0	0	0	0	2	0	0	0	82	33	28	0	0	0	0	26	0	42	0	57	3	0	1	0	26	0	0	8	41	0	22	12	0	15	0	0	2	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	2	0
74	2	0	0	17	0	0	0	0	0	19	11	0	1	0	1	0	2	0	0	0	0	0	18	0	6	0	29	22	5	1	0	0	0	42	0	0	11	40	0	0	0	0	6	0	0	2	73	11	10	18	0	116	12	0	0	2	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	2	0
75	0	0	0	0	2	23	1	0	0	0	2	0	0	0	23	0	1	0	16	6	3	0	1	0	13	2	3	0	3	3	0	0	1	0	5	45	0	3	1	0	0	0	37	22	0	5	19	0	0	0	0	0	0	0	0	7	0	0	93	2	1	2	2	0	10	0	0	2	1	0	0	20	0
76	0	0	18	0	0	2	0	0	0	0	21	0	0	0	0	0	0	0	1	0	3	0	4	0	17	3	50	29	14	6	0	1	0	0	0	2	0	3	0	0	0	3	11	34	0	14	29	1	1	0	0	0	0	0	0	0	0	0	76	1	1	0	2	0	10	0	0	3	0	0	0	2	0
77	0	0	39	0	0	0	0	0	0	0	47	0	0	0	25	0	4	0	6	0	0	0	3	0	4	1	2	7	11	11	0	2	0	1	0	2	0	2	2	0	0	0	15	17	27	8	56	0	2	10	0	1	0	2	0	0	0	1	164	0	5	0	0	0	11	0	0	1	0	0	1	8	0
78	0	0	11	0	0	7	0	0	0	0	0	0	1	0	9	0	5	1	11	6	9	0	17	0	18	3	0	1	17	20	0	2	0	6	0	52	0	0	0	0	0	4	12	25	0	6	12	0	0	1	0	0	0	4	0	0	0	5	110	0	1	20	0	1	8	0	0	6	0	1	0	7	3
79	0	0	0	0	5	13	0	0	0	0	74	0	0	1	2	0	4	5	5	3	0	0	10	0	5	2	103	2	12	6	0	0	0	0	0	1	0	4	0	0	0	1	5	7	0	5	18	2	18	27	0	5	0	15	0	12	1	0	241	0	1	3	2	0	0	1	0	0	0	0	0	1	0
81	0	0	1	0	1	3	0	0	0	0	58	0	0	0	1	2	0	0	4	0	1	0	8	0	4	1	143	8	18	7	0	2	0	5	0	64	0	0	1	0	0	0	24	36	0	2	20	2	37	0	0	14	0	0	0	5	0	0	215	0	0	0	1	0	24	0	3	6	0	0	0	16	0
